date,ozone,wd,ws,pm10,pm25,temp,nox
01/01/2014 00:00,0.0014,0,0,172.2,136.4,6.21,0.1685
01/01/2014 01:00,0.0022,0,0,187,152.3,5.63,0.1753
01/01/2014 02:00,0.0023,0,0,195.5,161.6,5.08,0.1599
01/01/2014 03:00,0.0017,75,0.6,178.8,151.9,4.63,0.1439
01/01/2014 04:00,,0,0,140.3,121.4,4.36,
01/01/2014 05:00,0.0001,85,0.5,117.6,100.6,4.19,0.1102
01/01/2014 06:00,0.0002,82,0.6,97.4,82.8,3.79,0.1083
01/01/2014 07:00,0.0007,111,0.6,84.9,70.5,4.09,0.0949
01/01/2014 08:00,0.0029,148,0.6,68.2,52.6,5.74,0.0526
01/01/2014 09:00,0.0102,120,1,139,102.2,8.1,0.0397
01/01/2014 10:00,0.0208,91,1,121,92.8,10.39,0.0269
01/01/2014 11:00,0.0365,0,0,98.6,75.3,12.79,0.015
01/01/2014 12:00,0.0439,0,0,88.4,62.3,15.12,0.0145
01/01/2014 13:00,0.0515,0,0,92.5,65,16.7,0.0137
01/01/2014 14:00,0.054,207,0.9,95.1,66.4,17.82,0.0157
01/01/2014 15:00,0.0519,276,1,108.1,82.5,17.9,0.0166
01/01/2014 16:00,0.0365,0,0,107.5,78.7,17.21,0.0313
01/01/2014 17:00,0.008,0,0,114.5,79.2,15.11,0.071
01/01/2014 18:00,0.0001,0,0,138.5,90.2,13.56,0.1205
01/01/2014 19:00,0.0004,0,0,145.5,101.4,12.44,0.1373
01/01/2014 20:00,0.0005,25,0.5,172.9,109.3,10.97,0.1395
01/01/2014 21:00,0.0005,70,0.7,134.7,101.5,10.02,0.1317
01/01/2014 22:00,0.0008,0,0,132.7,105.9,8.73,0.1314
01/01/2014 23:00,0.0005,0,0,126.4,102.6,7.79,0.1337
02/01/2014 00:00,0.0002,0,0,127.9,99.2,6.88,0.1241
02/01/2014 01:00,0.0003,0,0,118.3,91.6,6.39,0.1122
02/01/2014 02:00,-0.0001,0,0,112,84,5.46,0.1025
02/01/2014 03:00,-0.0002,0,0,91.7,75.7,5.4,0.1007
02/01/2014 04:00,,96,0.7,87.4,67.8,4.94,
02/01/2014 05:00,-0.0002,82,0.7,78.3,64.1,4.75,0.0764
02/01/2014 06:00,-0.0005,79,0.8,76.9,58.3,4.33,0.0902
02/01/2014 07:00,0,63,0.7,80.5,53.6,4.3,0.1036
02/01/2014 08:00,0.0031,76,0.8,111.7,62.4,6.47,0.0846
02/01/2014 09:00,0.0149,0,0,105.8,70.8,9.65,0.0451
02/01/2014 10:00,0.0239,193,0.6,118,81.5,12.36,0.0391
02/01/2014 11:00,0.0292,248,0.8,111.5,77.8,14.53,0.0386
02/01/2014 12:00,0.0365,258,1,108.5,81.3,16.07,0.0319
02/01/2014 13:00,0.0469,301,1.2,88.4,66.4,17.32,0.0186
02/01/2014 14:00,0.0501,302,1,87.7,63.7,18.15,0.0154
02/01/2014 15:00,0.0509,292,1.2,81,54.7,18.34,0.0118
02/01/2014 16:00,0.035,294,0.9,84.3,54.7,17.73,0.025
02/01/2014 17:00,0.008,275,0.8,104.7,58.9,15.93,0.06
02/01/2014 18:00,0.0038,277,1.3,114.6,70.5,13.99,0.0586
02/01/2014 19:00,0.006,316,0.7,113.9,76.5,12.76,0.0533
02/01/2014 20:00,-0.0001,0,0,111.7,72.8,11.33,0.0897
02/01/2014 21:00,0.0001,0,0,103,64.9,9.99,0.1084
02/01/2014 22:00,0.0005,0,0,107.5,72.6,9.17,0.1251
02/01/2014 23:00,0.0008,67,0.6,120.3,84.6,8.38,0.1191
03/01/2014 00:00,0.0001,58,0.6,104.9,77.5,7.61,0.0969
03/01/2014 01:00,0.0001,0,0,107.2,83.2,6.58,0.1014
03/01/2014 02:00,0.0001,61,0.5,82,61.5,6.02,0.0933
03/01/2014 03:00,0,0,0,78.6,60.7,5.61,0.0847
